team,oc_name,years_in_role,architect_status,passing_system,running_system,personnel_preference,pace_identity,qb_type,redzone_identity,coaching_tree,mentor_primary,ol_coach,one_liner_identity
IND,Jim Bob Cooter,,HC = architect (Shane Steichen calls plays),Spread RPO with mobile-QB design,Multiple zone schemes with QB run,11 personnel,Moderate-to-fast,Mobile dual-threat (Daniel Jones),QB-run red zone,Reid / McVay hybrid,Frank Reich / Shane Steichen,"Tony Sparano, Jr.",Steichen calls plays; QB-run is the offense's identity.
JAX,Grant Udinski,1 (2025-),HC = architect (Liam Coen calls plays),McVay / Shanahan WCO with vertical shots,Outside zone primary,11 personnel base,Moderate,Pocket passer with mobility (Trevor Lawrence),Boot / play-action red zone,McVay tree (via Coen),Liam Coen,Shaun Sarrett,Coen-tree OC supporting the Lawrence rebuild.
KC,Eric Bieniemy,4 (2023-),HC = architect (Andy Reid calls plays),Reid WCO with Coryell vertical concepts,Inside / outside zone mix,11 personnel base,Moderate,Pocket-mobile (Mahomes),Jet motion / condensed sets,Reid tree,Andy Reid,Andy Heck,Returning OC under Reid's umbrella; Reid remains play-caller.
LA,Nate Scheelhaase,2 (2024-),HC = architect (Sean McVay calls plays),Shanahan / McVay WCO with motion,Outside zone primary,11 personnel base; huge spike in heavy,Moderate,Pocket passer (Stafford),Stack/bunch red zone,Shanahan tree (via SF/NYJ),Sean McVay,Ryan Wendell,"McVay's more recent, heavy-personnel, gap-leaning power WCO."
LAC,Mike McDaniel,2 (2024-),Coordinator runs offense (Jim Harbaugh-aligned),Shanahan / McVay WCO with motion,Power gap with pulling linemen; QB-run option,11/12 mix with motion,"Slow, methodical",Pocket passer (Herbert),Heavy formations + QB run,Shanahan tree,Kyle Shanahan,Mike Devlin,Run-game architect aligned with Harbaugh's downhill identity.
LV,Andrew Janocko,2 (2025-),HC = architect (Klint Kubiak calls plays),Shanahan / McVay WCO with motion,Outside zone primary,11/12 mix with motion,Up-tempo capable,Pocket passer (Mendoza),RPO red zone,Shanahan tree,Klint Kubiak,Butch Barry,Kubiak calls plays; QB-run is the offense's identity.
MIA,Bobby Slowik,5 (2022-),HC = architect (Mike McDaniel calls plays),Shanahan / McVay WCO with motion,Outside zone primary,11 personnel base,Up-tempo capable,Mobile dual-threat (Willis),Motion-driven red zone,Shanahan tree,Kyle Shanahan / Mike McDaniel,Zach Yenser,OC working alongside McDaniel; Shanahan-tree lineage.
MIN,Wes Phillips,4 (2022-),HC = architect (Kevin O'Connell calls plays),Shanahan / McVay WCO with motion,Outside zone primary,11 personnel base,Moderate,Mobile dual-threat (Kyler Murray),Boot / play-action red zone,McVay tree,Kevin O'Connell,Keith Carter,OC under O'Connell; McVay-tree continuity.
NE,Josh McDaniels,2 (2025-),Coordinator runs offense (Jeff Hafley-aligned),Erhardt-Perkins with vertical Coryell elements,Multi-scheme zone/gap mix,12/13 personnel capable,Moderate,Pocket-mobile (Drake Maye),Empty / 5-out red zone,Belichick tree / Erhardt-Perkins,Bill Belichick,Doug Marrone,EP-rooted OC paired with Vrabel for Drake Maye's development.
NO,Doug Nussmeier,1 (2025-),HC = architect (Kellen Moore calls plays),Coryell / McVay WCO hybrid,Multiple zone/gap mix,11 personnel base,Moderate,Pocket passer (Shough),RB+TE red zone,Mike McCarthy → Kellen Moore,Kellen Moore,Brendan Nugent,OC under Moore's offensive umbrella.
NYG,Matt Nagy,5 (2022-),Coordinator runs offense (John Harbaugh-aligned),Erhardt-Perkins with Reid-tree concepts,Multiple zone/gap,11 personnel base,Moderate,Mobile dual-threat (Dart),Empty / spread red zone,Reid tree,Andy Reid,Mike Bloomgren,Reid-tree OC building off of departed Daboll's offensive structure.
NYJ,Frank Reich,1 (2025-),Coordinator runs offense (Glenn = defensive HC),Papa Shanahan WCO; play-action heavy,Outside zone primary,11 personnel base,Moderate,Pocket passer (Geno Smith),TE-flex red zone,Reid tree (Doug Pederson),Doug Pederson,Steve Heiden,Glenn leans into a steady veteran OC after the green Engstrand experiment in 2025.
PHI,Sean Mannion,1 (2025-),Coordinator runs offense (Sirianni delegates OC),Spread RPO with tush-push goal-line identity,Outside zone with gap complement,11 personnel base,Moderate,Mobile dual-threat (Hurts),Tush-push / RPO red zone,Reid / Reich / Sirianni hybrid,Nick Sirianni,Chris Kuper,Sirianni pivots to the McVay system to revive Hurts.
PIT,Brian Angelichio,3 (2024-),HC = architect (McCarthy calls plays),Papa Shanahan WCO; play-action heavy,Outside zone with gap complement; under-center heavy,12/13 personnel heavy,"Slow, methodical",Pocket passer (Rodgers),TE-flex red zone,Marty Schottenheimer,Marty Schottenheimer,James Campen,Old-school WCO would suit Rodgers well if he returns.
SEA,Brian Fleury,2 (2025-),Coordinator runs offense (Macdonald = defensive HC),Shanahan / Kubiak WCO with deep play-action,Outside zone primary; under-center heavy,11/12 mix,Moderate,Pocket passer (Sam Darnold),Boot / play-action red zone,Shanahan tree,Kyle Shanahan,John Benton,Macdonald keeps the recipe by bringing in Shanahan's run-game coordinator.
SF,Klay Kubiak,1 (2025-),HC = architect (Kyle Shanahan calls plays),Shanahan wide-zone WCO,Outside zone primary,21/12 personnel heavy,Moderate,Pocket passer (Purdy),Bunch / motion red zone,Shanahan tree,Kyle Shanahan / Gary Kubiak,Chris Foerster,Internal promotion under Shanahan; Shanahan calls plays.
TB,Zac Robinson,1 (2025-),Coordinator runs offense (Bowles = defensive HC),Shanahan / McVay WCO with motion & Pistol twist,Outside zone with gap complement,11 personnel base,Moderate,Pocket passer (Mayfield),Vertical / boot red zone,McVay tree,Sean McVay,Kevin Carberry,Bowles pivots to the McVay system to help take Mayfield to the next level.
TEN,Brian Daboll,2 (2024-),Coordinator runs offense (Saleh = defensive HC),Erhardt-Perkins with vertical Coryell elements,"Gap, zone, RPO and some QB run game",11/12 mix with condensed splits,Moderate,Mobile dual-threat (Cam Ward),Spread red zone,Reid → Belichick,Bill Belichick,Carmen Bricillo,Saleh leans on Daboll to do for Ward what he did for Josh Allen.
WAS,David Blough,2 (2024-),Coordinator runs offense (Quinn = defensive HC),"Shanahan WCO with shotgun, 11 personnel and motion",Outside zone with QB-run; spread,11 personnel heavy,Up-tempo capable,Mobile dual-threat (Jayden Daniels),Empty / spread / QB-run red zone,Air Raid tree (Kliff Kingsbury lineage),Kliff Kingsbury,Darnell Stapleton,Air-Raid / WCO hybrid OC unlocking Daniels' rookie/sophomore breakout.
